region	n	trait	results	abbreviation	category	color
region_chr12_55272053_57155077	150	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr16_14370145_16060203	36	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr6_146344288_148599216	16	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr6_6784974_7808703	9	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr13_40495126_42526891	28	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr17_1269105_2025437	27	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr17_65152010_66804312	5	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr1_18336405_20142656	260	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr20_44051536_46210417	1	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr20_9750273_11268888	109	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr2_120546207_122545330	15	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr6_29770194_30830391	2202	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr7_22468010_23431823	77	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr8_10605687_11421489	2	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr10_61581937_64034354	3	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr15_49715846_51385363	98	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr1_97419693_99335048	1	UKB_1160_Sleep_duration	gwas	SLEEP_UKB	Psychiatric-neurologic	#0000A0
region_chr7_148118226_150143569	257	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr8_125398675_127646866	22	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr9_16659657_18661053	57	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr11_66131160_68238358	15	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr16_8288517_9705562	1	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr1_11717784_12719464	1	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr1_178985335_181174985	2	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr2_40054343_43082452	56	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr3_185350467_187172556	70	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr6_138501492_139524299	44	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr11_106650168_107973474	26	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr14_67525600_70665240	97	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr15_73336373_76106283	2	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr16_80263477_81738931	21	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr18_45342141_46719283	3	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr2_139342701_141047782	37	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr2_189017339_191108631	27	RA_OKADA_TRANS_ETHNIC	gwas	RA	Immune	#40A0A0
region_chr3_16240935_17849626	17	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr3_51797999_54047363	59	pgc.scz2	gwas	SCZ	Psychiatric-neurologic	#0000A0
region_chr8_11421489_13634266	483	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr8_40845818_41863936	13	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr18_11905441_14440800	90	IBD.EUR.Crohns_Disease	gwas	CD	Immune	#40A0A0
region_chr1_29689034_31973084	16	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr1_76262450_79195513	33	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr2_211514793_213149558	243	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr3_47685722_49279539	664	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr16_85115079_86122993	31	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr19_44239955_45599439	182	MAGNETIC_LDL.C	gwas	LDLC	Cardiometabolic	#004000
region_chr3_107263964_109803548	3	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr11_117876395_119344766	165	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr13_52765487_54108729	13	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr17_57280180_59410151	25	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr3_147008842_149325450	222	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	gwas	BLDP2_UKB	Hair morphology	#808000
region_chr6_127219316_129539886	7	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr6_31603441_32714887	3	IGAP_Alzheimer	gwas	AD	Psychiatric-neurologic	#0000A0
region_chr7_100599028_101555972	19	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr12_91672378_94120791	25	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr17_69862629_71391676	8	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr19_9127717_11173352	2	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr2_43082452_44086664	65	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr3_190508818_192626025	3	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr6_167642155_168981955	216	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr6_33268720_35487979	4	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr7_92864438_94337289	80	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr11_128318642_130472680	3	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr12_55272053_57155077	148	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr17_7414079_8403107	13	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr1_170588635_173128768	378	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr1_44503511_46433829	315	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr5_178986463_179974244	39	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr6_29770194_30830391	2062	UKB_20002_1453_self_reported_psoriasis	gwas	PSO_UKBS	Immune	#40A0A0
region_chr7_127229167_129138332	54	RA_OKADA_TRANS_ETHNIC	gwas	RA	Immune	#40A0A0
region_chr11_30119810_32255355	232	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr17_5838014_7414079	77	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr19_46646825_48778970	30	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr8_23039544_24817205	212	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr10_96062600_98481545	286	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr11_77086163_78644013	6	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr13_26710225_28683414	3	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr17_38653091_40721152	73	IBD.EUR.Ulcerative_Colitis	gwas	UC	Immune	#40A0A0
region_chr18_3891658_5834181	14	UKB_1180_Morning_or_evening_person_chronotype	gwas	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr3_147008842_149325450	91	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr4_54563389_55681477	14	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr4_86613495_88316876	546	UKB_20002_1466_self_reported_gout	gwas	GOUT_UKBS	Skeletal system disease	#B0B0FF
region_chr6_133923105_135903039	123	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr8_143155464_145078481	1	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr9_10023_1079707	38	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr12_94120791_95627009	84	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr16_65904663_68807460	20	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr19_44239955_45599439	316	UKB_20002_1473_self_reported_high_cholesterol	gwas	HC_UKBS	Cardiometabolic	#004000
region_chr19_45599439_46646825	16	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr1_112730684_114331223	490	RA_OKADA_TRANS_ETHNIC	gwas	RA	Immune	#40A0A0
region_chr1_197342384_199270756	1	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr1_55947444_56556055	13	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr4_138635357_140163477	2	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr4_17381699_18840251	117	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr6_108143176_109983044	30	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr6_125103237_127219316	343	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr8_125398675_127646866	21	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr18_8498933_11075914	89	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr19_2098397_3019662	117	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr19_9127717_11173352	37	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr4_107894192_110335411	5	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr6_133923105_135903039	358	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr12_52645220_54385039	79	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr19_18299052_19766662	40	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr1_182786221_184626379	1	UKB_20002_1461_self_reported_inflammatory_bowel_disease	gwas	IBD_UKBS	Immune	#40A0A0
region_chr1_235656136_237392328	54	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr20_55438728_57872903	59	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr3_56399879_58171792	464	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr7_46947122_49172682	3	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr7_91032469_92864438	30	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr7_96444196_97470258	73	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	gwas	BLDP2_UKB	Hair morphology	#808000
region_chr8_129368893_130627379	2	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr9_132423455_134176000	67	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr10_12544798_13279600	72	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr15_38238576_40091931	43	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr16_13060580_14370145	61	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr16_85115079_86122993	59	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	gwas	SLE	Immune	#40A0A0
region_chr18_11905441_14440800	24	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr20_63558827_64333810	23	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr4_24133906_25607700	130	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr8_125398675_127646866	31	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr9_119498019_122109043	3	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr11_112588765_114387006	25	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr14_72422907_75978424	1	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr15_38238576_40091931	197	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr17_2025437_3799018	15	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr1_118296444_148907004	360	BCAC_Overall_BreastCancer_EUR	gwas	BC	Cancer	#A0A0A0
region_chr1_247181216_248945267	18	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr7_148118226_150143569	64	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr8_71377219_72904964	37	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr11_1192365_3644251	1	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr15_76106283_78223711	57	UKB_20127_Neuroticism_score	gwas	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr19_16263605_18299052	10	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr20_5497204_7103426	422	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr6_30830391_31603441	4	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr11_46984586_49844498	3	MAGIC_FastingGlucose	gwas	FG	Cardiometabolic	#004000
region_chr12_119316305_121569746	87	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr16_53348660_55869862	213	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr4_104384137_106580148	6	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr8_125398675_127646866	50	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr8_58815541_61416540	160	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr9_115159681_118559259	222	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr11_124625632_126441425	23	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr11_128318642_130472680	126	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr11_59013076_62456299	58	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr14_102545765_104535386	138	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr16_48974015_52001911	49	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr19_11173352_13360313	174	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr1_46433829_47536904	20	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr5_132803957_135441711	3	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr6_141967342_144998674	5	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr7_13844577_15104032	104	MAGIC_FastingGlucose	gwas	FG	Cardiometabolic	#004000
region_chr7_39823071_41962213	7	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr1_154797927_156366342	13	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr20_20979069_22510818	147	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr3_47685722_49279539	3	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr6_25684359_26791023	10	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr6_28050041_28949831	564	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr12_76117534_78176790	177	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr17_44979537_47798656	35	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	gwas	BLDP2_UKB	Hair morphology	#808000
region_chr17_47798656_49440038	44	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr1_1961168_3666172	43	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr2_33138710_35119962	153	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr5_52838788_54407214	46	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr11_55315181_58690022	411	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr13_36924048_38304026	6	UKB_1200_Sleeplessness_or_insomnia	gwas	INSOMN_UKB	Psychiatric-neurologic	#0000A0
region_chr16_27434434_29025292	75	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr1_3666172_4320751	188	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr20_3847766_5497204	331	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr3_114229016_115728233	1	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr6_82417432_84500271	30	pgc.scz2	gwas	SCZ	Psychiatric-neurologic	#0000A0
region_chr7_43119475_44724229	19	UKB_20002_1473_self_reported_high_cholesterol	gwas	HC_UKBS	Cardiometabolic	#004000
region_chr8_37521871_39081287	6	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr9_110015744_112068802	54	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr9_89827251_91404921	11	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr11_8311727_9065770	52	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr2_180448012_181401304	365	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr5_81185652_82729829	2	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr10_29494763_30169909	13	CARDIoGRAM_C4D_CAD_ADDITIVE	gwas	CAD	Cardiometabolic	#004000
region_chr10_53343812_55271380	1	UKB_1180_Morning_or_evening_person_chronotype	gwas	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr12_119316305_121569746	187	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr16_29025292_31371622	372	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr22_37174229_38911889	1	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr2_217530757_219589829	154	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr4_17381699_18840251	136	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr4_37253425_38905401	183	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr5_149283061_151181737	201	IBD.EUR.Inflammatory_Bowel_Disease	gwas	IBD	Immune	#40A0A0
region_chr6_28050041_28949831	49	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr8_78220626_81044160	1	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr9_98830577_101862155	2	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr11_70855_1192365	46	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr12_11601912_12580594	55	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr14_98672195_101067970	4	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr16_71020125_72901251	3	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr19_44239955_45599439	58	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr1_55947444_56556055	22	CARDIoGRAM_C4D_CAD_ADDITIVE	gwas	CAD	Cardiometabolic	#004000
region_chr2_224975287_227255126	182	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr6_26791023_28050041	1	UKB_20002_1313_self_reported_ankylosing_spondylitis	gwas	ASP_UKBS	Immune	#40A0A0
region_chr6_31603441_32714887	5060	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr1_201620847_203365606	17	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr2_35896940_37905569	43	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr10_98908643_101189482	1	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr8_83313354_85043384	10	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr9_4884926_6557589	98	IBD.EUR.Crohns_Disease	gwas	CD	Immune	#40A0A0
region_chr12_67515949_69432762	1	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr12_85596648_89288345	9	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr19_11173352_13360313	179	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr5_167420735_169098313	74	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr5_74463501_76503041	227	MAGNETIC_LDL.C	gwas	LDLC	Cardiometabolic	#004000
region_chr7_2022763_2732593	36	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr7_64180747_66224822	79	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr20_40982216_41957049	118	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr4_18840251_20542934	44	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr6_25684359_26791023	168	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr6_33268720_35487979	38	UKB_20002_1453_self_reported_psoriasis	gwas	PSO_UKBS	Immune	#40A0A0
region_chr7_2732593_4533797	27	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
